id,created_at,user_name,text,lang
1399446366900809731,2021-05-31 19:23:08+00:00,le mythe de sisyphication 🩸,Is it me or Microsoft be making their lead female protag look masculine as hell..barely no curves and non feminine… https://t.co/WcpLdyZiEz,en
1399446228543459330,2021-05-31 19:22:35+00:00,🧚🏾‍♂️ HUALIAN LUVER,See I already do not feel like being at therapy so if I attend and miss thing does not let me into this Microsoft t… https://t.co/izlpnImvXV,en
1399446169693175814,2021-05-31 19:22:21+00:00,Azure Tweetbot,"RT @SQLSuperGuru: I am excited to present my talk ""Text Mining &amp; Sentiment Analysis made easy"" at the #Edmonton #Canada #Microsoft #DataPro…",en
1399446112356896769,2021-05-31 19:22:08+00:00,Sanil Mhatre,"I am excited to present my talk ""Text Mining &amp; Sentiment Analysis made easy"" at the #Edmonton #Canada #Microsoft… https://t.co/Xsko38TQgo",en
1399446007293878275,2021-05-31 19:21:43+00:00,Fake Game Titles Bot,Paper Everyone Gets Pissed Off And Goes On a Road Trip With Inkling And Inkling   New Leaf Gold Edition (Featuring… https://t.co/6Qm6HURgpy,en
1399445918844399620,2021-05-31 19:21:22+00:00,Marximum Carnage,@jason35226 @raphaelmichael_ @tomwarren Would be great to know when Forza is coming out because this tech would be… https://t.co/sIxkQDc5iy,en
1399445799965282313,2021-05-31 19:20:53+00:00,☀️tam,I’m going to scream I worked all day on homework just for my laptop to crash Microsoft word as I’m saving it......twice.,en
1399445716381143042,2021-05-31 19:20:33+00:00,Automate.io,"The more meetings you have, the harder it can be to stay on top of them. Get automated notification before a new me… https://t.co/bgrBJAe23B",en
1399445526626570241,2021-05-31 19:19:48+00:00,Exclusives define the better console.,"@GameHero235 @The_CrapGamer Yes, and if Microsoft put it on switch, they are more likely be willing to put it on Pl… https://t.co/fq7vC2x6Wz",en
1399445387421782016,2021-05-31 19:19:15+00:00,future🦹jubilee,"@simonw @rachelnabors Yeah, thinking about it, if I was to ask for a flight of avenging daevas from Microsoft, it w… https://t.co/fOJyBt57GU",en
1399445372334788608,2021-05-31 19:19:11+00:00,James Smith,"RT @michaelmorley11: Hey Microsoft Word, I'm ALWAYS talking about subsection (e) of some statute, regulation, or contract, NEVER Euros.",en
1399445321357406210,2021-05-31 19:18:59+00:00,Byron,"@NESbot_feed Sony should do a deal with Epic in response, by getting exclusivity on any game developed with UE5, in… https://t.co/jo6MqDY5XO",en
1399445212611551234,2021-05-31 19:18:33+00:00,Michael N. Ritchie,@Microsoft You'll be their next CEO.,en
1399444984844238854,2021-05-31 19:17:39+00:00,Jibarito 🇵🇷,"@LLATV_BEATS @dyrO7f9Klm4Hubg @Stallion83 You have zero proof of this

Where is any official statement where Micros… https://t.co/UmeAKMTqov",en
1399444880934457348,2021-05-31 19:17:14+00:00,yoyomaster331☂️,"RT @HaloSupport: If you're having issues seeing your downloadable content (DLC) for Halo: The Master Chief Collection on PC, and you own it…",en
1399444723480268809,2021-05-31 19:16:37+00:00,Tech Star,"Interested in a #SurfaceBook but not interested in its price??? Well the #GalaxyBookS 13.3"" FHD #Touchscreen #Intel… https://t.co/e6BInF9m6W",en
1399444516596195328,2021-05-31 19:15:47+00:00,june / ジューン | 🏮 | まつりす | α | SAO:A Rewatch Active,"RT @HaloSupport: If you're having issues seeing your downloadable content (DLC) for Halo: The Master Chief Collection on PC, and you own it…",en
1399444059614187524,2021-05-31 19:13:58+00:00,Morgan Bell,"RT @cassidoo: @rachelnabors Microsoft's engagement with the dev community is amazing. They do podcasts, TikToks, office hours, tutorials, g…",en
1399444028828049413,2021-05-31 19:13:51+00:00,Adewale Oshineye,"RT @random_walker: While I'm sure this is impressive work, conflating mathematical statements with empirical claims is a category error tha…",en
1399443788448284676,2021-05-31 19:12:54+00:00,Tankie 🏳️‍🌈 💜💙,@YSBoomOfficial I've had Windows OS in my life for decades and rarely do I ever see a BSOD. It can be a little clun… https://t.co/VeBTcvExuK,en
1399443547636613124,2021-05-31 19:11:56+00:00,Nayal,@enkoo85 @PyraStanJord @NESbot_feed @JMaine518 I'm not fully sure if it was his plan to make Dolby exclusive on Xbo… https://t.co/vUmMSgVhui,en
1399443447719792646,2021-05-31 19:11:32+00:00,enCloud9 Social/CRM,"Develop an app in hours with @Microsoft #PowerApps. Your business is growing, so you need to be efficient. Solve pr… https://t.co/b0kzRcEzfN",en
1399443392426283008,2021-05-31 19:11:19+00:00,Finex Skills Hub,"Create a Cash Flow Report ""without formulas"" https://t.co/ybr0qkn8Gz via @YouTube #Microsoft #Excel #tips",en
1399443321353801735,2021-05-31 19:11:02+00:00,X-BOX MASTER RACE,@XcloudTimdog Seeing how half of naughty dog now works for Microsoft. I'm sure it will not be a problem in fact man… https://t.co/DwWzhZbROS,en
1399443165489344523,2021-05-31 19:10:25+00:00,Lucifer le réel antichrist 👑 Satan (officiel) 🌈,"Microsoft Flight Simulator - Gliders Info, World Update 5 Preview Screen... https://t.co/TOU949QBr4 via @YouTube",en
1399442957946732545,2021-05-31 19:09:36+00:00,Tim Clarke 💙,"Yet more great integration and functionality to make work planning even more organised and efficient 👍

Microsoft O… https://t.co/oviHwt35E8",en
1399442937591873539,2021-05-31 19:09:31+00:00,NUBELITY,BI is not just for experts anymore. Make decisions faster based on #data you can trust. Set your business up not on… https://t.co/D8kDt85Tiu,en
1399442900216430594,2021-05-31 19:09:22+00:00,Ali Moshajari,"Develop an app in hours with @Microsoft #PowerApps. Your business is growing, so you need to be efficient. Solve pr… https://t.co/OSFgQQw7wn",en
1399442832197177344,2021-05-31 19:09:06+00:00,Ron Twist,@DKHInfosec I also prefer Linux as the DD but for the occasional windows foray I just use the free/demo VM(good for… https://t.co/QunvMzvHdB,en
1399442686340444162,2021-05-31 19:08:31+00:00,metal571,"RT @lefticus: ""Hot"" Take @Microsoft @Windows : It is NEVER appropriate to wake a laptop to install updates. NEVER under any circumstances.…",en
1399442677544980481,2021-05-31 19:08:29+00:00,LateNightGaming,"RT @HaloSupport: If you're having issues seeing your downloadable content (DLC) for Halo: The Master Chief Collection on PC, and you own it…",en
1399442655600336897,2021-05-31 19:08:24+00:00,Dr. Emily Friedman,RT @JasonCusterPhD: I'm excited to play this so I can find out before my previous institution what happens when you lay off all the faculty…,en
1399442285658447873,2021-05-31 19:06:55+00:00,Fiji Independent Commission Against Corruption,"RT @UNODC: 📣 Save the date!
Attend this side event to learn more about #gender equality and #anticorruption – two themes, one goal.

📅 2 Ju…",en
1399442129064128513,2021-05-31 19:06:18+00:00,Filiplic,"I’m speaking at Education Reimagined this June! Explore innovative teaching and learning strategies with us.

Regis… https://t.co/dtsPQH3LBh",en
1399441996528373773,2021-05-31 19:05:47+00:00,Denis Suarsana,"RT @MicrosoftDE: Welche Werte brauchen wir für die Arbeitswelt der Zukunft?
Darüber wollen wir am Dienstag hier auf Twitter mit @DuezenTekk…",de
1399441928807190537,2021-05-31 19:05:30+00:00,I drink champagne REGULAR,RT @SVCarbaholic: Gonna be smiling on my Microsoft Teams call while Benzema slaps in an overhead kick. God is good https://t.co/YvjNTTsjMW,en
1399441851774537732,2021-05-31 19:05:12+00:00,A King,@OriginalHaunt @IGN Prior to having the financial backing of Microsoft. They should be fine now managing their titles.,en
1399441784216952855,2021-05-31 19:04:56+00:00,GalakticFunk⚔,"@DartaArt I do my work on a Microsoft surface pro 4, so virtually anywhere! Most creative while alone and in my own… https://t.co/aZ9CE9i8yK",en
1399441781557760007,2021-05-31 19:04:55+00:00,"Jason Custer, PhD",I'm excited to play this so I can find out before my previous institution what happens when you lay off all the fac… https://t.co/ILzKR48YKd,en
1399441007314309120,2021-05-31 19:01:51+00:00,Smaj,@SnazzyQ @Danaochmanski Do you do things like script writing on the iPad Pro? Currently there are some tools the iP… https://t.co/yx4isEzbuN,en
